UID,DAY_OF_WEEK,CRS_DEP_TIME,TAXI_OUT,TAXI_IN,ACTUAL_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP,AIRLINE_ID,FL_DATE,ORIGIN_CITY_MARKET_ID,DEST_CITY_MARKET_ID,FL_NUM,CARRIER,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,FIRST_DEP_TIME,ARR_DELAY
35,3,1450,11,6,80,349,2,19393,2017-01-11,30977,31650,123,WN,MDW,"Chicago, IL",IL,MSP,"Minneapolis, MN",MN,,327
36,5,2036,16,8,102,549,3,19790,2017-01-20,31295,30529,1562,DL,DTW,"Detroit, MI",MI,BDL,"Hartford, CT",CT,,-17
37,5,749,17,7,124,640,3,19790,2017-01-13,31986,30397,1586,DL,GRR,"Grand Rapids, MI",MI,ATL,"Atlanta, GA",GA,,-18
38,1,1955,17,9,121,509,3,19790,2017-01-23,31295,31703,665,DL,DTW,"Detroit, MI",MI,JFK,"New York, NY",NY,,9
40,4,1250,11,4,181,"1,068",5,19977,2017-01-26,31703,31714,174,UA,EWR,"Newark, NJ",NJ,RSW,"Fort Myers, FL",FL,,-9
41,5,1830,12,7,381,"2,419",10,21171,2017-01-06,30852,32457,77,VX,IAD,"Washington, DC",VA,SFO,"San Francisco, CA",CA,,21
42,5,1235,33,4,207,"1,599",7,19393,2017-01-20,33570,33495,3993,WN,SAN,"San Diego, CA",CA,MSY,"New Orleans, LA",LA,,29
43,2,810,23,10,116,528,3,19790,2017-01-03,31650,31295,1260,DL,MSP,"Minneapolis, MN",MN,DTW,"Detroit, MI",MI,,9
44,6,1707,35,6,81,175,1,20304,2017-01-07,34614,35389,7405,OO,SLC,"Salt Lake City, UT",UT,TWF,"Twin Falls, ID",ID,,25
45,6,935,8,17,68,258,2,19805,2017-01-21,31123,30977,1102,AA,STL,"St. Louis, MO",MO,ORD,"Chicago, IL",IL,,59
46,4,2120,11,17,102,414,2,21171,2017-01-19,32211,32457,917,VX,LAS,"Las Vegas, NV",NV,SFO,"San Francisco, CA",CA,,55
47,3,1735,10,5,87,562,3,19393,2017-01-18,30615,30194,124,WN,ELP,"El Paso, TX",TX,DAL,"Dallas, TX",TX,,-13
48,5,1315,13,4,362,"2,439",10,19393,2017-01-13,30852,32457,532,WN,BWI,"Baltimore, MD",MD,SJC,"San Jose, CA",CA,,-7
49,7,1115,16,5,112,581,3,19393,2017-01-22,30397,32467,4453,WN,ATL,"Atlanta, GA",GA,FLL,"Fort Lauderdale, FL",FL,,28
50,1,2010,49,5,254,"1,535",7,19790,2017-01-30,31650,32575,2592,DL,MSP,"Minneapolis, MN",MN,LAX,"Los Angeles, CA",CA,,-1
52,3,1215,7,4,113,829,4,19393,2017-01-18,31066,33195,525,WN,CMH,"Columbus, OH",OH,TPA,"Tampa, FL",FL,,-29
53,7,700,26,8,160,861,4,20416,2017-01-29,30647,31454,387,NK,CAK,"Akron, OH",OH,MCO,"Orlando, FL",FL,,-6
54,2,2035,13,7,127,936,4,19805,2017-01-17,30194,31057,1743,AA,DFW,"Dallas/Fort Worth, TX",TX,CLT,"Charlotte, NC",NC,,-24
55,4,910,21,4,258,"1,726",7,19977,2017-01-19,30977,32575,3,UA,ORD,"Chicago, IL",IL,SNA,"Santa Ana, CA",CA,,-2
56,7,1215,22,7,254,"1,814",8,19393,2017-01-29,32337,32575,4968,WN,IND,"Indianapolis, IN",IN,LAX,"Los Angeles, CA",CA,,-18
57,2,1605,12,14,111,599,3,19805,2017-01-24,30977,31057,463,AA,ORD,"Chicago, IL",IL,CLT,"Charlotte, NC",NC,,-3
58,3,1755,19,10,126,758,4,19977,2017-01-18,30852,31454,419,UA,IAD,"Washington, DC",VA,MCO,"Orlando, FL",FL,,6
59,1,2200,17,7,88,399,2,19805,2017-01-30,30852,30721,2138,AA,DCA,"Washington, DC",VA,BOS,"Boston, MA",MA,,-7
60,1,1845,7,8,324,"2,342",10,21171,2017-01-30,32467,32575,337,VX,FLL,"Fort Lauderdale, FL",FL,LAX,"Los Angeles, CA",CA,,-2
61,5,950,51,13,208,"1,013",5,19805,2017-01-06,34100,32467,2051,AA,PHL,"Philadelphia, PA",PA,MIA,"Miami, FL",FL,,17
65,3,1215,16,4,89,425,2,19790,2017-01-18,30397,33495,1458,DL,ATL,"Atlanta, GA",GA,MSY,"New Orleans, LA",LA,,-2
66,6,2020,14,11,205,"1,390",6,19393,2017-01-14,31453,32575,2540,WN,HOU,"Houston, TX",TX,LAX,"Los Angeles, CA",CA,,-15
67,6,835,15,4,191,"1,390",6,19393,2017-01-14,32575,31453,2065,WN,LAX,"Los Angeles, CA",CA,HOU,"Houston, TX",TX,,1
68,1,1159,22,5,173,733,3,19805,2017-01-23,30977,31703,186,AA,ORD,"Chicago, IL",IL,LGA,"New York, NY",NY,,46
69,4,1015,11,8,123,758,4,19393,2017-01-12,31454,30852,4089,WN,MCO,"Orlando, FL",FL,IAD,"Washington, DC",VA,,-7
70,2,1015,30,7,181,925,4,20304,2017-01-24,30977,31453,3078,OO,ORD,"Chicago, IL",IL,IAH,"Houston, TX",TX,,14
71,6,1210,17,6,182,"1,188",5,19393,2017-01-14,32467,30721,2445,WN,FLL,"Fort Lauderdale, FL",FL,PVD,"Providence, RI",RI,,46
73,3,830,25,3,309,"2,378",10,19930,2017-01-18,30559,34100,32,AS,SEA,"Seattle, WA",WA,PHL,"Philadelphia, PA",PA,,-1
74,7,825,27,7,311,"2,288",10,21171,2017-01-29,32575,30852,108,VX,LAX,"Los Angeles, CA",CA,IAD,"Washington, DC",VA,,31
75,1,750,39,7,88,236,1,19393,2017-01-16,32211,32575,1427,WN,LAS,"Las Vegas, NV",NV,LAX,"Los Angeles, CA",CA,,21
76,1,730,12,9,154,"1,057",5,19393,2017-01-16,31123,32467,1931,WN,STL,"St. Louis, MO",MO,FLL,"Fort Lauderdale, FL",FL,,-17
77,5,520,13,5,51,134,1,19790,2017-01-13,30599,30397,1510,DL,BHM,"Birmingham, AL",AL,ATL,"Atlanta, GA",GA,,-15
78,7,1240,14,5,132,836,4,19393,2017-01-15,30325,31884,3608,WN,DEN,"Denver, CO",CO,GEG,"Spokane, WA",WA,,-15
79,1,905,21,4,132,908,4,20366,2017-01-09,31650,30852,5222,EV,MSP,"Minneapolis, MN",MN,IAD,"Washington, DC",VA,,-31
80,7,915,11,9,243,"1,733",7,19393,2017-01-22,30977,30559,4959,WN,MDW,"Chicago, IL",IL,SEA,"Seattle, WA",WA,,-40
81,1,2030,23,11,63,109,1,20304,2017-01-30,33570,32575,5444,OO,SAN,"San Diego, CA",CA,LAX,"Los Angeles, CA",CA,,98
82,5,1056,13,4,75,332,2,19790,2017-01-13,30397,33244,2180,DL,ATL,"Atlanta, GA",GA,MEM,"Memphis, TN",TN,,-11
83,4,1700,13,15,96,414,2,21171,2017-01-26,32457,32211,910,VX,SFO,"San Francisco, CA",CA,LAS,"Las Vegas, NV",NV,,1
85,3,1900,18,15,76,184,1,19790,2017-01-25,30721,31703,2681,DL,BOS,"Boston, MA",MA,LGA,"New York, NY",NY,,-8
86,2,950,7,9,196,"1,210",5,19393,2017-01-10,33214,32575,127,WN,SAT,"San Antonio, TX",TX,LAX,"Los Angeles, CA",CA,,-3
87,7,1728,14,15,157,834,4,20416,2017-01-22,34057,32575,991,NK,PDX,"Portland, OR",OR,LAX,"Los Angeles, CA",CA,,182
88,3,700,9,11,171,"1,084",5,20416,2017-01-25,31714,31295,606,NK,RSW,"Fort Myers, FL",FL,DTW,"Detroit, MI",MI,,-8
89,6,805,8,13,134,823,4,20416,2017-01-14,32898,31454,863,NK,LBE,"Latrobe, PA",PA,MCO,"Orlando, FL",FL,,-27
90,4,700,20,8,172,946,4,19790,2017-01-12,30721,30397,1201,DL,BOS,"Boston, MA",MA,ATL,"Atlanta, GA",GA,,-16
91,5,1520,22,4,128,620,3,20304,2017-01-20,34252,32457,5175,OO,PSC,"Pasco/Kennewick/Richland, WA",WA,SFO,"San Francisco, CA",CA,,15
92,6,1759,39,8,376,"2,454",10,19977,2017-01-14,31703,32575,275,UA,EWR,"Newark, NJ",NJ,LAX,"Los Angeles, CA",CA,,-5
93,3,2012,13,3,149,"1,192",5,19805,2017-01-04,30194,30852,2293,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,,-15
95,3,1220,18,9,207,"1,235",5,19805,2017-01-25,30194,32575,370,AA,DFW,"Dallas/Fort Worth, TX",TX,LAX,"Los Angeles, CA",CA,,-12
96,2,1710,18,20,208,"1,167",5,19393,2017-01-10,32467,30977,1410,WN,FLL,"Fort Lauderdale, FL",FL,MDW,"Chicago, IL",IL,,16
97,5,944,41,9,188,818,4,20409,2017-01-06,30721,30994,1667,B6,BOS,"Boston, MA",MA,CHS,"Charleston, SC",SC,,43
98,2,1825,23,8,95,404,2,19393,2017-01-17,31454,30397,1359,WN,MCO,"Orlando, FL",FL,ATL,"Atlanta, GA",GA,,-2
99,1,1315,50,3,238,"1,306",6,19790,2017-01-09,31650,33195,1712,DL,MSP,"Minneapolis, MN",MN,TPA,"Tampa, FL",FL,,50
100,1,1659,20,7,78,296,2,20366,2017-01-23,30408,31295,5424,EV,ATW,"Appleton, WI",WI,DTW,"Detroit, MI",MI,,92
101,1,1525,18,4,109,486,2,19393,2017-01-23,30140,32211,1461,WN,ABQ,"Albuquerque, NM",NM,LAS,"Las Vegas, NV",NV,,12
102,6,2020,14,18,230,"1,390",6,19393,2017-01-07,31453,32575,2540,WN,HOU,"Houston, TX",TX,LAX,"Los Angeles, CA",CA,,82
103,3,650,13,4,57,190,1,19805,2017-01-04,30194,30423,1004,AA,DFW,"Dallas/Fort Worth, TX",TX,AUS,"Austin, TX",TX,,-11
104,7,1950,14,11,87,414,2,21171,2017-01-01,32457,32211,260,VX,SFO,"San Francisco, CA",CA,LAS,"Las Vegas, NV",NV,,-7
105,7,1745,21,6,153,"1,015",5,19393,2017-01-29,30325,31986,4036,WN,DEN,"Denver, CO",CO,GRR,"Grand Rapids, MI",MI,,9
106,7,550,15,9,152,990,4,19393,2017-01-01,30977,31454,6888,WN,MDW,"Chicago, IL",IL,MCO,"Orlando, FL",FL,,-8
107,3,705,20,34,165,733,3,19805,2017-01-18,31703,30977,289,AA,LGA,"New York, NY",NY,ORD,"Chicago, IL",IL,,-6
108,5,1050,23,3,97,526,3,19790,2017-01-27,30397,30198,1599,DL,ATL,"Atlanta, GA",GA,PIT,"Pittsburgh, PA",PA,,-1
109,7,825,30,17,240,"1,709",7,19805,2017-01-22,30325,32467,1511,AA,DEN,"Denver, CO",CO,MIA,"Miami, FL",FL,,20
110,1,1410,13,4,268,"2,329",10,19930,2017-01-09,30559,30852,2,AS,SEA,"Seattle, WA",WA,DCA,"Washington, DC",VA,,-24
111,2,1910,22,2,96,448,2,20366,2017-01-10,30397,30781,5137,EV,ATL,"Atlanta, GA",GA,BTR,"Baton Rouge, LA",LA,,-9
112,5,600,10,4,125,692,3,19790,2017-01-27,30135,30397,2561,DL,ABE,"Allentown/Bethlehem/Easton, PA",PA,ATL,"Atlanta, GA",GA,,-12
113,3,820,18,2,126,674,3,20366,2017-01-11,30397,34653,5347,EV,ATL,"Atlanta, GA",GA,TUL,"Tulsa, OK",OK,,-17
114,7,735,17,13,102,466,2,20366,2017-01-08,33029,30977,4162,EV,LNK,"Lincoln, NE",NE,ORD,"Chicago, IL",IL,,-14
115,7,1228,15,4,120,737,3,20304,2017-01-08,32575,30372,5417,OO,LAX,"Los Angeles, CA",CA,ASE,"Aspen, CO",CO,,-28
116,1,645,25,4,91,393,2,19790,2017-01-23,33198,31650,745,DL,MCI,"Kansas City, MO",MO,MSP,"Minneapolis, MN",MN,,11
117,5,835,22,6,269,"1,747",7,19393,2017-01-27,30397,32211,1400,WN,ATL,"Atlanta, GA",GA,LAS,"Las Vegas, NV",NV,,-14
118,3,1925,24,8,260,"1,514",7,19977,2017-01-04,30977,32211,599,UA,ORD,"Chicago, IL",IL,LAS,"Las Vegas, NV",NV,,28
119,1,630,13,12,207,"1,721",7,19805,2017-01-09,30559,30977,1624,AA,SEA,"Seattle, WA",WA,ORD,"Chicago, IL",IL,,-36
120,1,1435,14,12,79,258,2,19977,2017-01-23,31123,30977,1129,UA,STL,"St. Louis, MO",MO,ORD,"Chicago, IL",IL,,1
121,2,1800,18,6,114,689,3,19790,2017-01-24,30559,34614,2150,DL,SEA,"Seattle, WA",WA,SLC,"Salt Lake City, UT",UT,,-19
122,6,742,18,70,374,"2,139",9,20436,2017-01-14,30397,32457,1533,F9,ATL,"Atlanta, GA",GA,SFO,"San Francisco, CA",CA,,40
123,7,1509,15,6,108,566,3,20304,2017-01-15,30397,34696,4548,OO,ATL,"Atlanta, GA",GA,SBN,"South Bend, IN",IN,,-18
124,7,1150,14,4,173,"1,182",5,19805,2017-01-15,30977,32467,1433,AA,ORD,"Chicago, IL",IL,FLL,"Fort Lauderdale, FL",FL,,-1
125,7,1231,15,5,86,448,2,20366,2017-01-15,33377,30397,5105,EV,MLU,"Monroe, LA",LA,ATL,"Atlanta, GA",GA,,-17
126,1,1940,11,10,82,391,2,20304,2017-01-30,34570,32575,5218,OO,RNO,"Reno, NV",NV,LAX,"Los Angeles, CA",CA,,-27
127,7,1355,34,16,85,108,1,20304,2017-01-22,33485,30977,5609,OO,MSN,"Madison, WI",WI,ORD,"Chicago, IL",IL,,91
128,4,1335,12,3,124,846,4,20409,2017-01-05,34057,32575,1521,B6,PDX,"Portland, OR",OR,LGB,"Long Beach, CA",CA,,11
129,1,1937,19,25,251,"1,635",7,19977,2017-01-16,31453,32457,1806,UA,IAH,"Houston, TX",TX,SFO,"San Francisco, CA",CA,,4
130,4,1530,27,8,77,223,1,19393,2017-01-12,32575,32211,1560,WN,BUR,"Burbank, CA",CA,LAS,"Las Vegas, NV",NV,,64
131,2,1553,17,7,47,76,1,20366,2017-01-31,32547,31650,5580,EV,RST,"Rochester, MN",MN,MSP,"Minneapolis, MN",MN,,-22
132,2,555,12,5,181,"1,444",6,19393,2017-01-10,30466,30977,1459,WN,PHX,"Phoenix, AZ",AZ,MDW,"Chicago, IL",IL,,-6
134,5,855,10,7,75,391,2,19393,2017-01-27,34614,30325,674,WN,SLC,"Salt Lake City, UT",UT,DEN,"Denver, CO",CO,,-18
135,2,540,123,15,249,898,4,20304,2017-01-03,34489,30325,5322,OO,RDM,"Bend/Redmond, OR",OR,DEN,"Denver, CO",CO,,97
138,5,1000,7,4,71,351,2,19393,2017-01-06,31123,34653,1046,WN,STL,"St. Louis, MO",MO,TUL,"Tulsa, OK",OK,,20
139,1,705,17,10,153,936,4,19805,2017-01-16,30194,31057,2064,AA,DFW,"Dallas/Fort Worth, TX",TX,CLT,"Charlotte, NC",NC,,9
140,1,835,12,4,118,612,3,20409,2017-01-16,30721,34492,1383,B6,BOS,"Boston, MA",MA,RDU,"Raleigh/Durham, NC",NC,,-21
141,5,830,41,5,188,"1,242",5,19805,2017-01-20,32575,30423,1721,AA,LAX,"Los Angeles, CA",CA,AUS,"Austin, TX",TX,,-8
142,2,600,13,6,79,370,2,19393,2017-01-17,30466,32575,1021,WN,PHX,"Phoenix, AZ",AZ,LAX,"Los Angeles, CA",CA,,-7
143,1,1454,12,12,75,302,2,20366,2017-01-23,30562,30397,5120,EV,MOB,"Mobile, AL",AL,ATL,"Atlanta, GA",GA,,-13
145,6,1304,19,11,220,"1,379",6,19977,2017-01-28,31453,32575,1535,UA,IAH,"Houston, TX",TX,LAX,"Los Angeles, CA",CA,,-10
146,3,800,15,20,256,"2,077",9,19805,2017-01-04,33570,31057,1645,AA,SAN,"San Diego, CA",CA,CLT,"Charlotte, NC",NC,,-18
148,3,1205,26,8,98,373,2,20304,2017-01-25,32575,33192,4671,OO,LAX,"Los Angeles, CA",CA,SMF,"Sacramento, CA",CA,,57
149,5,1755,16,7,47,113,1,20304,2017-01-13,30469,31295,4785,OO,AZO,"Kalamazoo, MI",MI,DTW,"Detroit, MI",MI,,-38
151,6,1846,19,9,172,937,4,20409,2017-01-28,31703,31454,327,B6,EWR,"Newark, NJ",NJ,MCO,"Orlando, FL",FL,,-11
152,3,840,17,9,138,647,3,19805,2017-01-18,30466,33192,2672,AA,PHX,"Phoenix, AZ",AZ,SMF,"Sacramento, CA",CA,,0
153,1,845,10,6,73,362,2,19393,2017-01-09,32457,32575,1177,WN,OAK,"Oakland, CA",CA,ONT,"Ontario, CA",CA,,-5
154,6,1445,11,5,323,"2,395",10,19393,2017-01-28,30852,33192,4956,WN,BWI,"Baltimore, MD",MD,SMF,"Sacramento, CA",CA,,-39
155,3,1525,23,19,185,"1,089",5,19790,2017-01-04,32467,31703,407,DL,MIA,"Miami, FL",FL,JFK,"New York, NY",NY,,13
156,6,1340,15,32,139,594,3,19790,2017-01-07,30397,32467,619,DL,ATL,"Atlanta, GA",GA,MIA,"Miami, FL",FL,,78
157,3,620,8,5,156,973,4,19393,2017-01-18,31454,30194,1319,WN,MCO,"Orlando, FL",FL,DAL,"Dallas, TX",TX,,-17
158,1,1430,17,8,93,399,2,19805,2017-01-23,30852,30721,2149,AA,DCA,"Washington, DC",VA,BOS,"Boston, MA",MA,,53
159,3,1850,12,3,74,436,2,19393,2017-01-25,30194,33495,1568,WN,DAL,"Dallas, TX",TX,MSY,"New Orleans, LA",LA,,0
160,7,625,21,10,269,"1,558",7,20436,2017-01-15,34100,30325,555,F9,PHL,"Philadelphia, PA",PA,DEN,"Denver, CO",CO,,-6
161,5,1617,16,12,241,"1,535",7,20416,2017-01-13,31650,32575,323,NK,MSP,"Minneapolis, MN",MN,LAX,"Los Angeles, CA",CA,,10
162,7,900,9,5,71,444,2,19393,2017-01-15,30423,33495,4710,WN,AUS,"Austin, TX",TX,MSY,"New Orleans, LA",LA,,0
163,2,600,19,5,64,226,1,19790,2017-01-24,31057,30397,1133,DL,CLT,"Charlotte, NC",NC,ATL,"Atlanta, GA",GA,,-18
164,1,2241,17,6,78,264,2,20409,2017-01-09,31703,34576,486,B6,JFK,"New York, NY",NY,ROC,"Rochester, NY",NY,,19
165,5,1205,10,3,166,"1,389",6,19805,2017-01-27,30194,31703,1201,AA,DFW,"Dallas/Fort Worth, TX",TX,LGA,"New York, NY",NY,,-30
166,7,900,21,4,137,721,3,19393,2017-01-22,30397,30194,2332,WN,ATL,"Atlanta, GA",GA,DAL,"Dallas, TX",TX,,-5
168,4,730,18,9,374,"2,586",11,21171,2017-01-19,31703,32457,11,VX,JFK,"New York, NY",NY,SFO,"San Francisco, CA",CA,,-24
169,5,1345,30,3,112,622,3,19977,2017-01-20,30977,30852,307,UA,ORD,"Chicago, IL",IL,BWI,"Baltimore, MD",MD,,-1
170,3,1745,18,7,110,692,3,19393,2017-01-04,33198,30397,2691,WN,MCI,"Kansas City, MO",MO,ATL,"Atlanta, GA",GA,,103
171,1,850,30,7,150,925,4,19977,2017-01-16,31453,30977,527,UA,IAH,"Houston, TX",TX,ORD,"Chicago, IL",IL,,56
172,1,1355,17,10,293,"2,398",10,19690,2017-01-23,32134,32457,12,HA,HNL,"Honolulu, HI",HI,SFO,"San Francisco, CA",CA,,98
173,5,705,47,14,388,"2,381",10,19790,2017-01-06,30721,32211,1139,DL,BOS,"Boston, MA",MA,LAS,"Las Vegas, NV",NV,,16
174,4,1525,12,6,79,369,2,19393,2017-01-19,30852,30721,1832,WN,BWI,"Baltimore, MD",MD,BOS,"Boston, MA",MA,,-6
175,5,1555,15,7,85,404,2,19790,2017-01-13,30397,31454,1835,DL,ATL,"Atlanta, GA",GA,MCO,"Orlando, FL",FL,,-3
176,5,632,17,12,70,224,1,19805,2017-01-13,31453,30194,2244,AA,IAH,"Houston, TX",TX,DFW,"Dallas/Fort Worth, TX",TX,,12
177,4,1125,25,7,250,"1,946",8,19790,2017-01-19,32575,30397,866,DL,LAX,"Los Angeles, CA",CA,ATL,"Atlanta, GA",GA,,10
178,1,2005,14,6,76,326,2,20304,2017-01-23,32575,32457,5616,OO,BUR,"Burbank, CA",CA,SFO,"San Francisco, CA",CA,,49
179,4,1140,27,6,108,544,3,19805,2017-01-05,31057,31703,2064,AA,CLT,"Charlotte, NC",NC,LGA,"New York, NY",NY,,-11
180,5,1545,6,4,112,759,4,19393,2017-01-13,30140,31453,1766,WN,ABQ,"Albuquerque, NM",NM,HOU,"Houston, TX",TX,,12
181,2,1709,21,5,74,230,1,20304,2017-01-03,33105,30693,4793,OO,CVG,"Cincinnati, OH",KY,BNA,"Nashville, TN",TN,,104
182,5,1015,11,9,156,937,4,20416,2017-01-13,31703,31454,149,NK,EWR,"Newark, NJ",NJ,MCO,"Orlando, FL",FL,,-19
183,3,1735,9,7,144,896,4,20436,2017-01-18,30325,33342,362,F9,DEN,"Denver, CO",CO,MKE,"Milwaukee, WI",WI,,3
184,2,1700,10,5,120,668,3,19393,2017-01-24,34100,30977,3894,WN,PHL,"Philadelphia, PA",PA,MDW,"Chicago, IL",IL,,-19
185,7,1030,27,7,278,"1,874",8,19930,2017-01-15,30559,31453,730,AS,SEA,"Seattle, WA",WA,IAH,"Houston, TX",TX,,18
186,5,1359,10,3,83,549,3,19790,2017-01-13,31295,30529,733,DL,DTW,"Detroit, MI",MI,BDL,"Hartford, CT",CT,,145
187,6,820,19,6,302,"2,611",11,19805,2017-01-14,32575,30721,146,AA,LAX,"Los Angeles, CA",CA,BOS,"Boston, MA",MA,,-40
188,5,600,28,10,90,301,2,20304,2017-01-20,34711,31295,4802,OO,SCE,"State College, PA",PA,DTW,"Detroit, MI",MI,,-11
190,7,715,8,21,200,"1,243",5,19393,2017-01-22,33342,32467,3264,WN,MKE,"Milwaukee, WI",WI,FLL,"Fort Lauderdale, FL",FL,,9
191,6,1500,11,6,117,679,3,19930,2017-01-28,30559,32457,308,AS,SEA,"Seattle, WA",WA,SFO,"San Francisco, CA",CA,,-9
192,4,2030,13,6,92,546,3,19393,2017-01-12,30194,31123,1301,WN,DAL,"Dallas, TX",TX,STL,"St. Louis, MO",MO,,25
193,7,713,11,6,147,"1,026",5,20416,2017-01-22,32467,30647,516,NK,FLL,"Fort Lauderdale, FL",FL,CAK,"Akron, OH",OH,,-21
195,7,1145,22,4,102,539,3,19930,2017-01-01,33873,30299,152,AS,OME,"Nome, AK",AK,ANC,"Anchorage, AK",AK,,37
196,7,1718,15,14,140,707,3,19790,2017-01-22,33485,30397,1382,DL,MSN,"Madison, WI",WI,ATL,"Atlanta, GA",GA,,110
197,2,1645,12,9,323,"1,984",8,19393,2017-01-03,33195,32211,3214,WN,TPA,"Tampa, FL",FL,LAS,"Las Vegas, NV",NV,,26
198,7,2226,17,4,79,373,2,19790,2017-01-22,30397,33105,2844,DL,ATL,"Atlanta, GA",GA,CVG,"Cincinnati, OH",KY,,226
199,7,1855,20,5,133,762,4,19790,2017-01-29,31703,30397,1953,DL,LGA,"New York, NY",NY,ATL,"Atlanta, GA",GA,,208
201,4,2220,16,3,88,547,3,19790,2017-01-26,30397,30852,1938,DL,ATL,"Atlanta, GA",GA,DCA,"Washington, DC",VA,,-14
202,3,1204,27,9,118,533,3,20304,2017-01-25,31423,31295,4955,OO,DSM,"Des Moines, IA",IA,DTW,"Detroit, MI",MI,,0
