UID,DAY_OF_WEEK,CRS_DEP_TIME,TAXI_OUT,TAXI_IN,ACTUAL_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP,AIRLINE_ID,FL_DATE,ORIGIN_CITY_MARKET_ID,DEST_CITY_MARKET_ID,FL_NUM,UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,FIRST_DEP_TIME,ARR_DELAY
17,6,1747,5.0,4.0,35.0,68.0,1,20409,2017-01-14,34945,34819,2035,B6,STT,"Charlotte Amalie, VI",VI,SJU,"San Juan, PR",PR,,13.0
18,2,700,21.0,3.0,371.0,2603.0,11,19930,2017-01-31,34057,32134,833,AS,PDX,"Portland, OR",OR,HNL,"Honolulu, HI",HI,,-9.0
19,2,1100,16.0,15.0,81.0,235.0,1,20304,2017-01-17,31295,30977,2889,OO,DTW,"Detroit, MI",MI,ORD,"Chicago, IL",IL,,0.0
20,2,1604,13.0,6.0,66.0,236.0,1,19805,2017-01-10,32211,32575,1440,AA,LAS,"Las Vegas, NV",NV,LAX,"Los Angeles, CA",CA,,-25.0
21,1,755,12.0,5.0,110.0,623.0,3,19393,2017-01-09,30693,30194,309,WN,BNA,"Nashville, TN",TN,DAL,"Dallas, TX",TX,752.0,26.0
22,1,1950,23.0,33.0,108.0,337.0,2,19977,2017-01-30,32457,32575,222,UA,SFO,"San Francisco, CA",CA,LAX,"Los Angeles, CA",CA,,0.0
24,4,1045,,,,737.0,3,20304,2017-01-05,32575,30372,4815,OO,LAX,"Los Angeles, CA",CA,ASE,"Aspen, CO",CO,,
25,1,1425,10.0,5.0,136.0,834.0,4,19393,2017-01-23,31454,30198,454,WN,MCO,"Orlando, FL",FL,PIT,"Pittsburgh, PA",PA,,-6.0
26,4,1935,14.0,10.0,89.0,440.0,2,19393,2017-01-19,31123,31295,4135,WN,STL,"St. Louis, MO",MO,DTW,"Detroit, MI",MI,,2.0
27,2,1600,15.0,10.0,363.0,2454.0,10,19977,2017-01-24,31703,32575,751,UA,EWR,"Newark, NJ",NJ,LAX,"Los Angeles, CA",CA,,-15.0
28,6,1630,,,,787.0,4,19393,2017-01-14,30852,31454,1349,WN,BWI,"Baltimore, MD",MD,MCO,"Orlando, FL",FL,,
30,7,1756,10.0,3.0,132.0,899.0,4,20409,2017-01-15,32467,30852,2080,B6,FLL,"Fort Lauderdale, FL",FL,DCA,"Washington, DC",VA,,-8.0
31,7,1515,10.0,5.0,68.0,326.0,2,19393,2017-01-29,32575,32457,3323,WN,BUR,"Burbank, CA",CA,SFO,"San Francisco, CA",CA,,2.0
32,4,1345,26.0,7.0,81.0,198.0,1,20304,2017-01-12,30333,31295,7367,OO,APN,"Alpena, MI",MI,DTW,"Detroit, MI",MI,,11.0
34,2,1620,12.0,7.0,186.0,991.0,4,20436,2017-01-10,30325,34057,793,F9,DEN,"Denver, CO",CO,PDX,"Portland, OR",OR,,67.0
35,7,1229,18.0,15.0,199.0,1197.0,5,20436,2017-01-15,32467,30977,1311,F9,MIA,"Miami, FL",FL,ORD,"Chicago, IL",IL,,31.0
36,2,1132,11.0,3.0,103.0,639.0,3,19977,2017-01-17,30325,30436,471,UA,DEN,"Denver, CO",CO,TUS,"Tucson, AZ",AZ,,-24.0
37,2,1705,16.0,6.0,272.0,1919.0,8,19790,2017-01-31,30397,32575,2459,DL,ATL,"Atlanta, GA",GA,SNA,"Santa Ana, CA",CA,,-28.0
38,6,729,11.0,5.0,153.0,956.0,4,19930,2017-01-07,30559,32575,530,AS,SEA,"Seattle, WA",WA,ONT,"Ontario, CA",CA,,9.0
39,5,1305,21.0,4.0,354.0,2917.0,11,19690,2017-01-27,32134,30466,36,HA,HNL,"Honolulu, HI",HI,PHX,"Phoenix, AZ",AZ,,0.0
40,3,1628,13.0,5.0,246.0,1999.0,8,19805,2017-01-18,30466,30852,2275,AA,PHX,"Phoenix, AZ",AZ,BWI,"Baltimore, MD",MD,,-14.0
41,7,1335,16.0,11.0,132.0,679.0,3,20304,2017-01-29,30559,32457,4876,OO,SEA,"Seattle, WA",WA,SFO,"San Francisco, CA",CA,,-12.0
42,4,845,16.0,7.0,106.0,542.0,3,20366,2017-01-26,31453,30928,4296,EV,IAH,"Houston, TX",TX,ICT,"Wichita, KS",KS,,-9.0
43,4,1150,13.0,5.0,86.0,407.0,2,19393,2017-01-19,32211,32457,1793,WN,LAS,"Las Vegas, NV",NV,OAK,"Oakland, CA",CA,,7.0
44,1,625,13.0,4.0,155.0,861.0,4,19977,2017-01-23,31714,31453,527,UA,RSW,"Fort Myers, FL",FL,IAH,"Houston, TX",TX,,5.0
45,7,1501,33.0,4.0,93.0,238.0,1,20366,2017-01-22,30397,30731,5527,EV,ATL,"Atlanta, GA",GA,BQK,"Brunswick, GA",GA,,36.0
46,7,1445,23.0,45.0,,577.0,3,19790,2017-01-22,30852,30397,1544,DL,BWI,"Baltimore, MD",MD,ATL,"Atlanta, GA",GA,,
47,5,1230,14.0,6.0,114.0,481.0,2,19393,2017-01-27,34524,30397,158,WN,RIC,"Richmond, VA",VA,ATL,"Atlanta, GA",GA,,-3.0
48,4,1936,22.0,6.0,333.0,2092.0,9,19790,2017-01-05,30397,33192,736,DL,ATL,"Atlanta, GA",GA,SMF,"Sacramento, CA",CA,,30.0
49,4,1210,14.0,6.0,129.0,692.0,3,20304,2017-01-26,31003,30325,5363,OO,CID,"Cedar Rapids/Iowa City, IA",IA,DEN,"Denver, CO",CO,,-17.0
50,7,1207,8.0,14.0,106.0,500.0,3,19805,2017-01-01,31295,31057,443,AA,DTW,"Detroit, MI",MI,CLT,"Charlotte, NC",NC,,-17.0
51,5,1517,10.0,2.0,82.0,507.0,3,19790,2017-01-27,34614,30466,972,DL,SLC,"Salt Lake City, UT",UT,PHX,"Phoenix, AZ",AZ,,-23.0
52,5,1355,7.0,3.0,68.0,362.0,2,19393,2017-01-27,32457,32575,1793,WN,OAK,"Oakland, CA",CA,ONT,"Ontario, CA",CA,,7.0
53,4,1015,15.0,14.0,170.0,867.0,4,19805,2017-01-05,30721,30977,251,AA,BOS,"Boston, MA",MA,ORD,"Chicago, IL",IL,,-15.0
54,2,629,10.0,13.0,101.0,468.0,2,19805,2017-01-24,31454,31057,840,AA,MCO,"Orlando, FL",FL,CLT,"Charlotte, NC",NC,,-11.0
55,5,1735,17.0,3.0,75.0,296.0,2,20304,2017-01-06,31295,32945,4830,OO,DTW,"Detroit, MI",MI,LEX,"Lexington, KY",KY,,-7.0
56,4,1100,27.0,11.0,191.0,1085.0,5,19805,2017-01-05,31703,32467,1614,AA,EWR,"Newark, NJ",NJ,MIA,"Miami, FL",FL,,-7.0
57,1,1415,23.0,7.0,209.0,1546.0,7,20436,2017-01-16,30325,31454,686,F9,DEN,"Denver, CO",CO,MCO,"Orlando, FL",FL,,27.0
58,5,1645,33.0,11.0,102.0,337.0,2,20304,2017-01-20,32457,32575,4921,OO,SFO,"San Francisco, CA",CA,LAX,"Los Angeles, CA",CA,,12.0
59,1,1620,14.0,7.0,216.0,1670.0,7,19805,2017-01-30,30466,31066,514,AA,PHX,"Phoenix, AZ",AZ,CMH,"Columbus, OH",OH,,-10.0
60,7,1214,12.0,5.0,68.0,304.0,2,20366,2017-01-29,30397,32945,5212,EV,ATL,"Atlanta, GA",GA,LEX,"Lexington, KY",KY,,-11.0
61,1,1525,11.0,4.0,77.0,533.0,3,19393,2017-01-23,30325,33198,596,WN,DEN,"Denver, CO",CO,MCI,"Kansas City, MO",MO,,-11.0
62,1,1455,10.0,6.0,118.0,749.0,3,19790,2017-01-30,30397,34576,1584,DL,ATL,"Atlanta, GA",GA,ROC,"Rochester, NY",NY,,174.0
63,1,500,35.0,5.0,80.0,237.0,1,19805,2017-01-23,34653,30194,1255,AA,TUL,"Tulsa, OK",OK,DFW,"Dallas/Fort Worth, TX",TX,,6.0
64,4,1710,31.0,8.0,137.0,645.0,3,20366,2017-01-05,32337,31703,4170,EV,IND,"Indianapolis, IN",IN,EWR,"Newark, NJ",NJ,,30.0
66,5,1230,27.0,26.0,110.0,337.0,2,19977,2017-01-06,32457,32575,937,UA,SFO,"San Francisco, CA",CA,LAX,"Los Angeles, CA",CA,,31.0
67,5,1255,18.0,4.0,250.0,2253.0,10,19977,2017-01-06,33570,30852,1590,UA,SAN,"San Diego, CA",CA,IAD,"Washington, DC",VA,,-44.0
68,7,1059,20.0,3.0,79.0,301.0,2,20409,2017-01-15,31703,30792,2402,B6,JFK,"New York, NY",NY,BUF,"Buffalo, NY",NY,,-4.0
69,3,1050,21.0,6.0,237.0,1440.0,6,19805,2017-01-04,30977,30466,2023,AA,ORD,"Chicago, IL",IL,PHX,"Phoenix, AZ",AZ,,3.0
70,3,600,20.0,4.0,269.0,2402.0,10,19805,2017-01-11,32575,34100,700,AA,LAX,"Los Angeles, CA",CA,PHL,"Philadelphia, PA",PA,,-52.0
71,5,1600,16.0,12.0,372.0,2454.0,10,19977,2017-01-06,31703,32575,751,UA,EWR,"Newark, NJ",NJ,LAX,"Los Angeles, CA",CA,,1.0
72,4,1635,6.0,11.0,64.0,208.0,1,20366,2017-01-12,35550,30397,5295,EV,VLD,"Valdosta, GA",GA,ATL,"Atlanta, GA",GA,,-16.0
73,7,1605,7.0,9.0,157.0,1024.0,5,19393,2017-01-29,31454,31986,2711,WN,MCO,"Orlando, FL",FL,GRR,"Grand Rapids, MI",MI,,-12.0
74,7,1823,11.0,6.0,82.0,377.0,2,20366,2017-01-08,32323,30397,5106,EV,ILM,"Wilmington, NC",NC,ATL,"Atlanta, GA",GA,,1.0
75,2,625,33.0,6.0,107.0,328.0,2,20304,2017-01-03,30140,30466,3047,OO,ABQ,"Albuquerque, NM",NM,PHX,"Phoenix, AZ",AZ,,10.0
76,2,1735,14.0,39.0,184.0,783.0,4,20304,2017-01-24,30529,30977,5189,OO,BDL,"Hartford, CT",CT,ORD,"Chicago, IL",IL,,14.0
77,2,1255,11.0,4.0,107.0,501.0,3,19790,2017-01-31,34492,31295,2379,DL,RDU,"Raleigh/Durham, NC",NC,DTW,"Detroit, MI",MI,,-11.0
78,2,2133,29.0,4.0,123.0,645.0,3,19790,2017-01-03,30397,31721,1766,DL,ATL,"Atlanta, GA",GA,FNT,"Flint, MI",MI,,-1.0
81,7,1700,5.0,6.0,113.0,834.0,4,19393,2017-01-15,34057,32575,5018,WN,PDX,"Portland, OR",OR,LAX,"Los Angeles, CA",CA,,-19.0
82,4,1920,20.0,5.0,76.0,321.0,2,19790,2017-01-12,30397,33044,1240,DL,ATL,"Atlanta, GA",GA,SDF,"Louisville, KY",KY,,-11.0
83,7,1635,24.0,9.0,71.0,199.0,1,20366,2017-01-01,30852,31703,4372,EV,DCA,"Washington, DC",VA,EWR,"Newark, NJ",NJ,,-20.0
85,2,1840,11.0,4.0,51.0,181.0,1,19393,2017-01-10,30194,33851,910,WN,DAL,"Dallas, TX",TX,OKC,"Oklahoma City, OK",OK,,2.0
86,7,935,41.0,24.0,273.0,1589.0,7,19790,2017-01-29,31650,32457,996,DL,MSP,"Minneapolis, MN",MN,SFO,"San Francisco, CA",CA,,-7.0
87,3,820,11.0,9.0,71.0,237.0,1,19805,2017-01-04,34653,30194,1314,AA,TUL,"Tulsa, OK",OK,DFW,"Dallas/Fort Worth, TX",TX,,-9.0
88,3,1710,8.0,11.0,103.0,639.0,3,19393,2017-01-04,30436,30325,6102,WN,TUS,"Tucson, AZ",AZ,DEN,"Denver, CO",CO,,54.0
89,3,1820,11.0,7.0,137.0,1055.0,5,19805,2017-01-11,32211,30194,618,AA,LAS,"Las Vegas, NV",NV,DFW,"Dallas/Fort Worth, TX",TX,,-8.0
90,2,630,15.0,6.0,154.0,1034.0,5,19790,2017-01-24,31453,31650,945,DL,IAH,"Houston, TX",TX,MSP,"Minneapolis, MN",MN,,-24.0
91,1,1640,18.0,7.0,284.0,2475.0,10,20409,2017-01-09,32575,31703,1024,B6,LAX,"Los Angeles, CA",CA,JFK,"New York, NY",NY,,-4.0
92,7,1200,12.0,10.0,143.0,937.0,4,20409,2017-01-29,31454,31703,928,B6,MCO,"Orlando, FL",FL,EWR,"Newark, NJ",NJ,,-13.0
93,2,1115,16.0,13.0,99.0,466.0,2,20366,2017-01-24,33029,30977,4058,EV,LNK,"Lincoln, NE",NE,ORD,"Chicago, IL",IL,,-13.0
94,5,825,51.0,9.0,152.0,599.0,3,20304,2017-01-27,34614,32457,4481,OO,SLC,"Salt Lake City, UT",UT,SFO,"San Francisco, CA",CA,,-2.0
95,1,1400,12.0,6.0,75.0,184.0,1,19790,2017-01-02,30721,31703,2672,DL,BOS,"Boston, MA",MA,LGA,"New York, NY",NY,,-10.0
96,7,2035,39.0,4.0,82.0,241.0,1,19790,2017-01-15,31295,30792,1176,DL,DTW,"Detroit, MI",MI,BUF,"Buffalo, NY",NY,,7.0
97,1,830,23.0,7.0,356.0,2434.0,10,19977,2017-01-30,31703,32575,2012,UA,EWR,"Newark, NJ",NJ,SNA,"Santa Ana, CA",CA,,-9.0
98,5,1520,13.0,5.0,77.0,349.0,2,19393,2017-01-13,30325,30140,534,WN,DEN,"Denver, CO",CO,ABQ,"Albuquerque, NM",NM,,22.0
99,1,1150,31.0,5.0,92.0,304.0,2,19393,2017-01-09,30466,33570,1783,WN,PHX,"Phoenix, AZ",AZ,SAN,"San Diego, CA",CA,,10.0
100,1,750,10.0,7.0,39.0,100.0,1,19690,2017-01-30,32134,33830,306,HA,HNL,"Honolulu, HI",HI,OGG,"Kahului, HI",HI,,-7.0
101,5,1621,18.0,14.0,166.0,867.0,4,20409,2017-01-20,30721,30977,1011,B6,BOS,"Boston, MA",MA,ORD,"Chicago, IL",IL,,-20.0
103,2,550,41.0,5.0,168.0,838.0,4,19393,2017-01-24,30721,30977,694,WN,MHT,"Manchester, NH",NH,MDW,"Chicago, IL",IL,,16.0
104,5,700,40.0,6.0,190.0,994.0,4,20409,2017-01-06,30198,32467,2007,B6,PIT,"Pittsburgh, PA",PA,FLL,"Fort Lauderdale, FL",FL,,7.0
105,4,1800,16.0,6.0,121.0,651.0,3,19805,2017-01-12,30466,32457,686,AA,PHX,"Phoenix, AZ",AZ,SFO,"San Francisco, CA",CA,,1.0
108,4,620,,,,122.0,1,20366,2017-01-12,30469,30977,4097,EV,AZO,"Kalamazoo, MI",MI,ORD,"Chicago, IL",IL,,
109,6,755,12.0,5.0,142.0,828.0,4,20409,2017-01-21,31703,31136,677,B6,JFK,"New York, NY",NY,JAX,"Jacksonville, FL",FL,,-25.0
110,1,1025,9.0,4.0,96.0,588.0,3,20409,2017-01-30,34614,32575,1631,B6,SLC,"Salt Lake City, UT",UT,LGB,"Long Beach, CA",CA,,-15.0
111,7,1402,25.0,6.0,82.0,296.0,2,20304,2017-01-08,34576,31295,4629,OO,ROC,"Rochester, NY",NY,DTW,"Detroit, MI",MI,,-16.0
112,4,2032,8.0,7.0,36.0,102.0,1,19690,2017-01-26,32982,32134,224,HA,LIH,"Lihue, HI",HI,HNL,"Honolulu, HI",HI,,13.0
113,1,630,22.0,6.0,84.0,310.0,2,20366,2017-01-09,30852,30647,4004,EV,DCA,"Washington, DC",VA,CLE,"Cleveland, OH",OH,,-6.0
114,4,829,17.0,21.0,312.0,2556.0,11,19977,2017-01-05,32134,32575,1231,UA,HNL,"Honolulu, HI",HI,LAX,"Los Angeles, CA",CA,,-13.0
115,1,1705,23.0,7.0,239.0,1440.0,6,19977,2017-01-09,30977,30466,1603,UA,ORD,"Chicago, IL",IL,PHX,"Phoenix, AZ",AZ,,6.0
116,6,1140,21.0,3.0,157.0,954.0,4,19930,2017-01-07,32211,30666,649,AS,LAS,"Las Vegas, NV",NV,BLI,"Bellingham, WA",WA,,-17.0
117,7,945,38.0,37.0,333.0,2227.0,9,19977,2017-01-22,32211,31703,524,UA,LAS,"Las Vegas, NV",NV,EWR,"Newark, NJ",NJ,,161.0
118,5,729,14.0,7.0,144.0,746.0,3,19977,2017-01-27,31703,30397,475,UA,EWR,"Newark, NJ",NJ,ATL,"Atlanta, GA",GA,,-23.0
119,6,855,17.0,8.0,76.0,259.0,2,19790,2017-01-28,30994,30397,2252,DL,CHS,"Charleston, SC",SC,ATL,"Atlanta, GA",GA,,-5.0
120,3,810,10.0,6.0,55.0,214.0,1,19790,2017-01-25,30397,30693,2421,DL,ATL,"Atlanta, GA",GA,BNA,"Nashville, TN",TN,,-13.0
121,2,1620,11.0,5.0,59.0,255.0,2,19393,2017-01-03,32211,30466,573,WN,LAS,"Las Vegas, NV",NV,PHX,"Phoenix, AZ",AZ,,15.0
122,4,945,11.0,3.0,180.0,1670.0,7,19805,2017-01-05,32575,33495,2580,AA,LAX,"Los Angeles, CA",CA,MSY,"New Orleans, LA",LA,,-46.0
123,5,905,56.0,13.0,190.0,911.0,4,20304,2017-01-27,30977,30189,5943,OO,ORD,"Chicago, IL",IL,COS,"Colorado Springs, CO",CO,,12.0
124,1,1545,32.0,4.0,290.0,1546.0,7,19977,2017-01-02,31454,30325,257,UA,MCO,"Orlando, FL",FL,DEN,"Denver, CO",CO,,38.0
125,7,1705,17.0,3.0,135.0,803.0,4,20366,2017-01-01,30397,31982,5303,EV,ATL,"Atlanta, GA",GA,GRK,"Killeen, TX",TX,,31.0
126,7,1610,11.0,7.0,93.0,494.0,2,19393,2017-01-15,33495,33214,3785,WN,MSY,"New Orleans, LA",LA,SAT,"San Antonio, TX",TX,,-11.0
127,3,955,7.0,8.0,112.0,594.0,3,19393,2017-01-25,31295,30397,1144,WN,DTW,"Detroit, MI",MI,ATL,"Atlanta, GA",GA,,-14.0
128,1,1100,13.0,8.0,201.0,1546.0,7,19977,2017-01-30,30325,31454,564,UA,DEN,"Denver, CO",CO,MCO,"Orlando, FL",FL,,-15.0
129,7,605,15.0,6.0,201.0,1448.0,6,19930,2017-01-29,30299,30559,88,AS,ANC,"Anchorage, AK",AK,SEA,"Seattle, WA",WA,,-17.0
130,3,939,12.0,7.0,165.0,1085.0,5,19805,2017-01-18,32467,31703,1078,AA,MIA,"Miami, FL",FL,EWR,"Newark, NJ",NJ,,-24.0
131,3,1830,10.0,10.0,108.0,630.0,3,19790,2017-01-04,34057,34614,1983,DL,PDX,"Portland, OR",OR,SLC,"Salt Lake City, UT",UT,,-7.0
133,3,1730,15.0,8.0,142.0,834.0,4,19930,2017-01-25,32575,34057,421,AS,LAX,"Los Angeles, CA",CA,PDX,"Portland, OR",OR,,-20.0
134,4,1605,7.0,8.0,174.0,1050.0,5,19393,2017-01-05,30529,31454,4709,WN,BDL,"Hartford, CT",CT,MCO,"Orlando, FL",FL,,10.0
135,5,1101,12.0,11.0,74.0,341.0,2,19790,2017-01-27,32448,30397,2408,DL,JAN,"Jackson/Vicksburg, MS",MS,ATL,"Atlanta, GA",GA,,-12.0
136,2,1420,7.0,5.0,61.0,319.0,2,19393,2017-01-03,33158,30194,1304,WN,MAF,"Midland/Odessa, TX",TX,DAL,"Dallas, TX",TX,,-7.0
137,6,1533,14.0,4.0,54.0,204.0,1,19805,2017-01-14,32467,33195,1113,AA,MIA,"Miami, FL",FL,TPA,"Tampa, FL",FL,,-15.0
138,3,2230,13.0,4.0,129.0,696.0,3,19393,2017-01-04,30397,31453,2604,WN,ATL,"Atlanta, GA",GA,HOU,"Houston, TX",TX,,-11.0
139,1,1510,15.0,4.0,85.0,397.0,2,19393,2017-01-23,32211,33192,1224,WN,LAS,"Las Vegas, NV",NV,SMF,"Sacramento, CA",CA,,92.0
140,1,700,18.0,2.0,122.0,622.0,3,20366,2017-01-02,30647,31650,5383,EV,CLE,"Cleveland, OH",OH,MSP,"Minneapolis, MN",MN,,-23.0
141,2,2010,7.0,5.0,82.0,409.0,2,19393,2017-01-31,31066,31123,1983,WN,CMH,"Columbus, OH",OH,STL,"St. Louis, MO",MO,,-19.0
142,5,1945,12.0,4.0,237.0,1751.0,8,19393,2017-01-20,30977,34057,2805,WN,MDW,"Chicago, IL",IL,PDX,"Portland, OR",OR,,-48.0
143,7,1442,25.0,7.0,54.0,110.0,1,20304,2017-01-08,30466,30436,3029,OO,PHX,"Phoenix, AZ",AZ,TUS,"Tucson, AZ",AZ,,-8.0
144,5,815,15.0,13.0,133.0,888.0,4,19977,2017-01-13,30325,30977,682,UA,DEN,"Denver, CO",CO,ORD,"Chicago, IL",IL,,-21.0
145,1,845,57.0,6.0,123.0,456.0,2,19790,2017-01-30,31295,30693,1885,DL,DTW,"Detroit, MI",MI,BNA,"Nashville, TN",TN,,-2.0
146,6,1100,15.0,9.0,52.0,122.0,1,20366,2017-01-21,30469,30977,4190,EV,AZO,"Kalamazoo, MI",MI,ORD,"Chicago, IL",IL,,-7.0
147,2,1000,15.0,10.0,176.0,1337.0,6,19977,2017-01-31,30325,31057,1711,UA,DEN,"Denver, CO",CO,CLT,"Charlotte, NC",NC,,-24.0
148,5,1035,7.0,8.0,173.0,1024.0,5,19393,2017-01-13,33044,30325,1540,WN,SDF,"Louisville, KY",KY,DEN,"Denver, CO",CO,,-6.0
149,5,749,18.0,5.0,51.0,129.0,1,20304,2017-01-13,30559,34057,4711,OO,SEA,"Seattle, WA",WA,PDX,"Portland, OR",OR,,-27.0
150,5,1745,10.0,8.0,153.0,1124.0,5,19790,2017-01-06,31650,30721,2062,DL,MSP,"Minneapolis, MN",MN,BOS,"Boston, MA",MA,,-7.0
152,6,1615,44.0,11.0,178.0,731.0,3,19790,2017-01-21,30397,30194,177,DL,ATL,"Atlanta, GA",GA,DFW,"Dallas/Fort Worth, TX",TX,,48.0
153,2,1005,14.0,2.0,73.0,356.0,2,19790,2017-01-03,30397,34492,822,DL,ATL,"Atlanta, GA",GA,RDU,"Raleigh/Durham, NC",NC,,-9.0
154,4,1925,17.0,5.0,156.0,909.0,4,19393,2017-01-05,30325,33192,1445,WN,DEN,"Denver, CO",CO,SMF,"Sacramento, CA",CA,,79.0
155,4,920,14.0,11.0,108.0,569.0,3,19393,2017-01-19,32457,34057,1380,WN,SJC,"San Jose, CA",CA,PDX,"Portland, OR",OR,,0.0
156,6,1600,10.0,5.0,207.0,1389.0,6,19805,2017-01-28,31703,30194,2525,AA,LGA,"New York, NY",NY,DFW,"Dallas/Fort Worth, TX",TX,,-28.0
158,1,1310,17.0,6.0,154.0,868.0,4,19805,2017-01-16,30194,30466,575,AA,DFW,"Dallas/Fort Worth, TX",TX,PHX,"Phoenix, AZ",AZ,,-3.0
159,2,1315,10.0,5.0,200.0,1430.0,6,19805,2017-01-17,30423,34100,2093,AA,AUS,"Austin, TX",TX,PHL,"Philadelphia, PA",PA,,4.0
160,4,1755,18.0,8.0,168.0,1065.0,5,20409,2017-01-26,32467,31703,6,B6,FLL,"Fort Lauderdale, FL",FL,EWR,"Newark, NJ",NJ,,-10.0
161,4,825,12.0,6.0,61.0,272.0,2,19393,2017-01-26,31123,30693,117,WN,STL,"St. Louis, MO",MO,BNA,"Nashville, TN",TN,,-7.0
162,5,1605,10.0,7.0,163.0,937.0,4,19393,2017-01-06,30977,31453,301,WN,MDW,"Chicago, IL",IL,HOU,"Houston, TX",TX,,3.0
163,6,1610,,,,451.0,2,20304,2017-01-07,32457,31603,5177,OO,SFO,"San Francisco, CA",CA,EUG,"Eugene, OR",OR,,
164,4,1740,33.0,7.0,108.0,370.0,2,20304,2017-01-19,30466,32575,4885,OO,PHX,"Phoenix, AZ",AZ,LAX,"Los Angeles, CA",CA,,6.0
165,7,1555,10.0,8.0,129.0,862.0,4,20416,2017-01-29,30325,31453,906,NK,DEN,"Denver, CO",CO,IAH,"Houston, TX",TX,,-17.0
166,4,949,16.0,3.0,49.0,125.0,1,20304,2017-01-26,30325,30372,5343,OO,DEN,"Denver, CO",CO,ASE,"Aspen, CO",CO,,-2.0
169,5,600,12.0,10.0,124.0,633.0,3,20366,2017-01-20,33367,30397,5310,EV,MLI,"Moline, IL",IL,ATL,"Atlanta, GA",GA,,0.0
170,5,730,18.0,6.0,144.0,946.0,4,19790,2017-01-13,30397,30721,104,DL,ATL,"Atlanta, GA",GA,BOS,"Boston, MA",MA,,0.0
171,7,1610,24.0,15.0,184.0,1205.0,5,19805,2017-01-01,32575,30194,2548,AA,SNA,"Santa Ana, CA",CA,DFW,"Dallas/Fort Worth, TX",TX,,12.0
172,4,640,22.0,12.0,112.0,550.0,3,21171,2017-01-05,34057,32457,22,VX,PDX,"Portland, OR",OR,SFO,"San Francisco, CA",CA,,11.0
173,6,2050,23.0,5.0,105.0,611.0,3,19393,2017-01-28,30977,30852,5585,WN,MDW,"Chicago, IL",IL,BWI,"Baltimore, MD",MD,,4.0
